Rule,Output,Risk Level
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.3097,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.3806,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.0862,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.1554,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.4646,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.1324,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",1.9749,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.6931,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.9058,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.2541,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.4235,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.8514,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.2939,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.6544,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.3843,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.0042,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.9307,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.5914,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-1.7149,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.0895,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.3921,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.0856,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.0731,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.2779,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.6566,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.0161,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.4362,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.0640,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.1987,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.1414,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.3843,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",2.5387,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.8541,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.7105,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.0346,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.2896,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.9798,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.5030,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.6654,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.0940,🟢 low
